name,created_at,forks,topics,categories
RomanianCoderExamples,2016-04-13T18:45:01Z,1144,"['examples', 'java', 'spring', 'spring-boot', 'tutorials']",['Beginner']
catboost,2017-07-18T05:29:04Z,1144,"['big-data', 'catboost', 'categorical-features', 'coreml', 'cuda', 'data-mining', 'data-science', 'decision-trees', 'gbdt', 'gbm', 'gpu', 'gpu-computing', 'gradient-boosting', 'kaggle', 'machine-learning', 'python', 'r', 'tutorial']","['Machine Learning', 'Beginner']"
hyperswitch,2022-10-17T11:18:28Z,1130,"['beginner-friendly', 'featured', 'finance', 'hacktoberfest', 'high-performance', 'open-source', 'orchestration', 'payments', 'postgresql', 'redis', 'restful-api', 'rust', 'sdk', 'works-with-react']",['Beginner']
learn-terraform-provision-eks-cluster,2020-03-06T21:24:16Z,1121,"['aws', 'eks', 'hashicorp', 'kubernetes', 'terraform', 'tutorial']",['Beginner']
zh.javascript.info,2018-04-04T06:01:58Z,1113,"['chinese', 'javascript', 'tutorial']","['Beginner', 'Web Programming']"
Please-Contain-Yourself,2017-02-13T05:07:19Z,1083,"['container', 'containerization', 'containers', 'docker', 'docker-compose', 'docker-image', 'docker-swarm', 'dockerfile', 'tutorial', 'tutorials']",['Beginner']
wifi-cracking,2017-07-23T23:54:11Z,1076,"['aircrack-ng', 'cracking', 'hacking', 'hashcat', 'password-cracking', 'tutorial', 'wifi', 'wpa2-cracking']",['Beginner']
RxJava2-Android-Samples,2016-08-27T08:21:37Z,1071,"['android', 'example', 'examples', 'migrations', 'rxandroid', 'rxjava', 'rxjava2', 'sample', 'samples', 'tutorial', 'tutorials']",['Beginner']
byte-of-python,2012-11-02T05:12:56Z,1066,"['beginner-friendly', 'book', 'python', 'tutorial']",['Beginner']
hacktoberfest2018,2018-03-28T18:52:28Z,1065,"['beginner-friendly', 'c', 'cpp', 'digitalocean', 'golang', 'hacktober', 'hacktoberfest', 'hacktoberfest18', 'hacktoberfest2018', 'html', 'java', 'javascript', 'nodejs', 'php', 'programming', 'python', 'python3', 'r', 'ruby', 'swift']","['Beginner', 'Web Programming']"
100daysofcode-with-python-course,2017-12-14T17:34:38Z,1061,"['100daysofcode', 'course', 'learn-to-code', 'python', 'python3', 'tutorial', 'video']",['Beginner']
Weekly-Challenge-2022-Kotlin,2021-12-21T17:56:28Z,1058,"['android', 'android-studio', 'kotlin', 'kotlin-android', 'tutorial', 'tutorial-code', 'tutorial-exercises']",['Beginner']
Hacktoberfest,2018-10-05T14:27:07Z,1043,"['beginner-friendly', 'codechef', 'freecodecamp', 'good-first-issue', 'hackerrank', 'hacktoberfest', 'hacktoberfest2018', 'help-wanted', 'low-hanging-fruit', 'up-for-grabs']",['Beginner']
Hacktoberfest2019,2019-09-24T18:42:17Z,1033,"['beginner', 'beginner-friendly', 'first-contribution', 'first-pull', 'first-pull-request-and-commit', 'github', 'star']",['Beginner']
Learn-Vim,2020-07-13T13:27:44Z,1022,"['advanced', 'beginner', 'book', 'book-series', 'code-editor', 'editor', 'education', 'intermediate', 'learning', 'learning-to-code', 'linux', 'programming', 'training-materials', 'training-providers', 'tutorial', 'unix', 'vim']",['Beginner']
cryptozombies-lesson-code,2019-11-25T07:52:19Z,1017,"['blockchain', 'cryptozombies', 'libra', 'loomnetwork', 'solidity', 'tutorial']",['Beginner']
Hello-World-in-Different-Languages,2023-09-27T17:33:21Z,1009,"['beginner-friendly', 'hacktoberfest', 'hacktoberfest-accepted', 'hacktoberfest10', 'hacktoberfest2023', 'hello-world', 'hello-world-in-all-languages']",['Beginner']
Hacktoberfest2021-DSA,2020-05-08T05:36:07Z,1007,"['beginner-friendly', 'c', 'cpp', 'data-structures', 'dsa-algorithm', 'hacktoberfest', 'hacktoberfest-2021', 'hacktoberfest-accepted', 'hacktoberfest-approved', 'hacktoberfest-event', 'hacktoberfest2021', 'java', 'open-source', 'python']",['Beginner']
TensorFlow-Tutorials,2017-01-18T18:50:06Z,1004,"['autoencoder', 'chatbot', 'cnn', 'deep-learning', 'dqn', 'gan', 'inception', 'mnist', 'neural-network', 'rnn', 'seq2seq', 'tensorflow', 'tutorial', 'word2vec']","['Machine Learning', 'Beginner']"
